participant_id,executionOrder,originalTrialNumber,loaderType,simulatedLoadingTime,simulatedLoadingTime_sec,rageClicks,mouseDistance,taskDuration,taskDuration_sec,totalLoadingTime,pureTaskDuration,perceivedLoadingTime,discomfort,reliability,perceivedLoadingTime_z,discomfort_z,reliability_z,rageClicks_z,mouseDistance_z,taskDuration_sec_z
participant_13,17.0,5.0,none,2500,2.5,0,4908.778656037919,14095.200000047684,14.095200000047685,7500.0,6595.200000047684,64.0,4.0,3.0,0.734638867134877,1.0597597575548472,0.0,0.0,-0.425878039028771,-0.703931276976316
participant_13,18.0,11.0,bar,1000,1.0,0,3936.201232062095,9111.299999952316,9.111299999952315,2000.0,7111.299999952316,36.0,2.0,3.0,-0.6027222903738156,-0.7206366351372958,0.0,0.0,-0.9840332298804795,-1.579055522058585
participant_13,19.0,9.0,none,5000,5.0,0,8873.861032696912,25031.29999995232,25.03129999995232,20000.0,5031.299999952316,71.0,5.0,3.0,1.06897915651205,1.9499579539009189,0.0,0.0,1.8496542282530772,1.2163412518420014
participant_13,20.0,2.0,bar,5000,5.0,0,4328.631278079864,19822.5,19.8225,10000.0,9822.5,83.0,4.0,3.0,1.64213393830149,1.0597597575548472,0.0,0.0,-0.7588204480172255,0.3017267596460163
participant_13,21.0,20.0,bar-color,2500,2.5,0,7934.917707538727,16242.600000143051,16.24260000014305,5000.0,11242.600000143051,55.0,3.0,3.0,0.30477278079279724,0.16956156120877572,0.0,0.0,1.310801404885843,-0.32686877493230215
participant_14,1.0,2.0,bar,5000,5.0,0,6848.475037875387,22046.400000095367,22.046400000095367,10000.0,12046.400000095367,56.0,2.0,4.0,0.6431071319210578,-0.5804543247940172,0.5778633929723662,0.0,0.6872997682177322,0.6922219157857209
participant_14,2.0,19.0,spinner-color,1000,1.0,0,5062.331452816853,14229.599999904633,14.229599999904632,2000.0,12229.599999904633,16.0,1.0,4.0,-0.9889472209903883,-1.393090379505641,0.5778633929723662,0.0,-0.3377551929918986,-0.680331947452927
participant_14,3.0,4.0,spinner,2500,2.5,0,6967.075843589873,17751.799999952316,17.751799999952315,5000.0,12751.799999952316,38.0,3.0,4.0,-0.09131732688909294,0.23218172991760672,0.5778633929723662,0.0,0.755363917885246,-0.06186797024401166
participant_14,4.0,14.0,skeleton-color,1000,1.0,0,6516.651835229366,15335.099999904633,15.335099999904632,3000.0,12335.099999904633,16.0,2.0,4.0,-0.9889472209903883,-0.5804543247940172,0.5778633929723662,0.0,0.49686881800628785,-0.48621692650147635
participant_14,5.0,13.0,spinner-color,2500,2.5,0,4575.096532375154,17839.200000047684,17.839200000047683,5000.0,12839.200000047684,38.0,3.0,4.0,-0.09131732688909294,0.23218172991760672,0.5778633929723662,0.0,-0.6173758106462043,-0.046521382410751475
participant_14,6.0,7.0,spinner,1000,1.0,0,4363.646069237007,12679.300000190737,12.679300000190736,2000.0,10679.300000190737,13.0,2.0,4.0,-1.111351297458747,-0.5804543247940172,0.5778633929723662,0.0,-0.7387257111261976,-0.9525495113837251
participant_14,7.0,20.0,bar-color,2500,2.5,0,5987.189819732702,18687.5,18.6875,5000.0,13687.5,12.0,1.0,5.0,-1.152152656281533,-1.393090379505641,1.5113350277738808,0.0,0.1930143741099869,0.10243182633086753
participant_14,8.0,16.0,skeleton-color,2500,2.5,0,6266.223604640352,20343.199999809265,20.343199999809265,5000.0,15343.199999809263,33.0,3.0,3.0,-0.29532412100302374,0.23218172991760672,-0.3556082418291484,0.0,0.3531498570338386,0.39315660258802954
