participant_id,executionOrder,originalTrialNumber,loaderType,simulatedLoadingTime,simulatedLoadingTime_sec,rageClicks,mouseDistance,taskDuration,taskDuration_sec,totalLoadingTime,pureTaskDuration,perceivedLoadingTime,discomfort,reliability
participant_7,14.0,1.0,bar-color,5000,5.0,0,5976.127419357814,19286.89999997616,19.28689999997616,10000.0,9286.899999976158,99.0,5.0,2.0
participant_7,15.0,13.0,spinner-color,2500,2.5,0,5753.120234535688,18815.60000002384,18.81560000002384,5000.0,13815.600000023842,61.0,4.0,3.0
participant_7,16.0,9.0,none,5000,5.0,0,10327.27353931414,21607.10000002384,21.607100000023838,10000.0,11607.100000023842,44.0,5.0,2.0
participant_7,17.0,11.0,bar,1000,1.0,0,6399.736358108611,13391.700000047684,13.391700000047683,2000.0,11391.700000047684,19.0,2.0,4.0
participant_7,18.0,20.0,bar-color,2500,2.5,0,6493.802715557105,12847.5,12.8475,5000.0,7847.5,59.0,4.0,3.0
participant_7,19.0,7.0,spinner,1000,1.0,0,6065.886751471508,10959.899999976158,10.959899999976159,2000.0,8959.899999976158,34.0,2.0,3.0
participant_7,20.0,16.0,skeleton-color,2500,2.5,0,4021.525022090272,16246.900000095367,16.24690000009537,5000.0,11246.900000095367,46.0,4.0,2.0
participant_7,21.0,10.0,bar,2500,2.5,0,10284.021161483532,26222.5,26.2225,5000.0,21222.5,61.0,4.0,3.0
participant_8,1.0,10.0,bar,2500,2.5,0,7475.35924376509,15659.299999952316,15.659299999952315,5000.0,10659.299999952316,52.0,3.0,3.0
participant_8,2.0,16.0,skeleton-color,2500,2.5,0,7589.966895304718,15319.399999976158,15.319399999976158,5000.0,10319.399999976158,48.0,3.0,2.0
participant_8,3.0,2.0,bar,5000,5.0,0,5382.715491714868,18176.700000047684,18.176700000047685,10000.0,8176.700000047684,66.0,4.0,3.0
participant_8,4.0,8.0,bar-color,1000,1.0,0,7580.946241825402,24077.900000095367,24.07790000009537,4000.0,20077.900000095367,40.0,2.0,4.0
